# mapping_set_id: https://example.org/mappings/example-oa-001
# mapping_set_version: 2026-05-22
# creator_id: mapping_co_scientist
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_date: 2026-05-22
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	mapping_tool	mapping_tool_version	mapping_date	reviewer_id
csv:animal_id	animal_id	skos:closeMatch	hcm:AnimalIdentifier	AnimalIdentifier	lexical_similarity_v1	1.0000	[lexical_only_high_score] Score 1.00 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:animal_id	animal_id	skos:closeMatch	hcm:Animal	Animal	lexical_similarity_v1	0.9000	[lexical_only_high_score] Score 0.90 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:animal_id	animal_id	skos:closeMatch	hcm:HousingCage	HousingCage	lexical_similarity_v1	0.7600		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:strain	strain	skos:closeMatch	hcm:MouseStrain	MouseStrain	lexical_similarity_v1	1.0000	[lexical_only_high_score] Score 1.00 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:strain	strain	skos:broadMatch	hcm:HomeCageMonitoringDevice	HomeCageMonitoringDevice	lexical_similarity_v1	0.6000		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:strain	strain	skos:relatedMatch	hcm:ExperimentalGroup	ExperimentalGroup	lexical_similarity_v1	0.5400		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:sex	sex	skos:closeMatch	hcm:BiologicalSex	BiologicalSex	lexical_similarity_v1	1.0000	[lexical_only_high_score] Score 1.00 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:sex	sex	skos:broadMatch	hcm:Animal	Animal	lexical_similarity_v1	0.7200		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:sex	sex	skos:broadMatch	hcm:ExperimentalGroup	ExperimentalGroup	lexical_similarity_v1	0.7200		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:genotype	genotype	skos:closeMatch	hcm:Genotype	Genotype	lexical_similarity_v1	1.0000	[lexical_only_high_score] Score 1.00 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:genotype	genotype	skos:broadMatch	hcm:GeneticBackground	GeneticBackground	lexical_similarity_v1	0.6000		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:genotype	genotype	skos:broadMatch	hcm:HousingCage	HousingCage	lexical_similarity_v1	0.6000		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:cage_id	cage_id	skos:closeMatch	hcm:HousingCage	HousingCage	lexical_similarity_v1	0.9000	[lexical_only_high_score] Score 0.90 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:cage_id	cage_id	skos:closeMatch	hcm:HomeCageMonitoringDevice	HomeCageMonitoringDevice	lexical_similarity_v1	0.8550		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:cage_id	cage_id	skos:relatedMatch	hcm:GeneticBackground	GeneticBackground	lexical_similarity_v1	0.5400		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:body_weight	body_weight	skos:closeMatch	hcm:BodyWeightMeasurement	BodyWeightMeasurement	lexical_similarity_v1	1.0000	[lexical_only_high_score] Score 1.00 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:body_weight	body_weight	skos:relatedMatch	hcm:Animal	Animal	lexical_similarity_v1	0.4706		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:body_weight	body_weight	skos:relatedMatch	hcm:ExperimentalGroup	ExperimentalGroup	lexical_similarity_v1	0.4500		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:experimental_group	experimental_group	skos:closeMatch	hcm:ExperimentalGroup	ExperimentalGroup	lexical_similarity_v1	0.9714	[lexical_only_high_score] Score 0.97 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:experimental_group	experimental_group	skos:broadMatch	hcm:BiologicalSex	BiologicalSex	lexical_similarity_v1	0.7200		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:experimental_group	experimental_group	skos:broadMatch	hcm:Animal	Animal	lexical_similarity_v1	0.6000		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:home_cage_monitoring_device	home_cage_monitoring_device	skos:closeMatch	hcm:HomeCageMonitoringDevice	HomeCageMonitoringDevice	lexical_similarity_v1	0.9412	[lexical_only_high_score] Score 0.94 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:home_cage_monitoring_device	home_cage_monitoring_device	skos:closeMatch	hcm:HousingCage	HousingCage	lexical_similarity_v1	0.9000	[lexical_only_high_score] Score 0.90 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:home_cage_monitoring_device	home_cage_monitoring_device	skos:broadMatch	hcm:MouseStrain	MouseStrain	lexical_similarity_v1	0.6000		SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:locomotor_activity_index	locomotor_activity_index	skos:closeMatch	hcm:ActivityMeasurement	ActivityMeasurement	lexical_similarity_v1	0.9500	[lexical_only_high_score] Score 0.95 is high enough for exactMatch by lexical metrics, but lexical similarity alone is insufficient to establish skos:exactMatch. Semantic review required before upgrading to exactMatch.	SemanticCandidateGenerator	0.2.0	2026-05-22	
csv:locomotor_activity_index	locomotor_activity_index	skos:broadMatch	hcm:BiologicalSex	BiologicalSex	lexical_similarity_v1	0.7200		SemanticCandidateGenerator	0.2.0	2026-05-22	
